filename,File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean
4,Artificial_minority-share_3_minority-shareincremental_aobhs_uob.csv,14749,76180,8770,301,0.6271,0.98,0.7648,0.98,0.8968,0.9375
4,Artificial_minority-share_3_minority-shareperiodic_aobhs_uob.csv,1433,87740,10677,150,0.1183,0.9052,0.2093,0.9052,0.8915,0.8984
4,Artificial_minority-share_3_minority-sharesudden_aobhs_uob.csv,14702,75966,9020,312,0.6198,0.9792,0.7591,0.9792,0.8939,0.9356
4,Artificial_minority-share_4_minority-shareincremental_aobhs_uob.csv,19708,72404,7565,323,0.7226,0.9839,0.8332,0.9839,0.9054,0.9438
4,Artificial_minority-share_4_minority-shareperiodic_aobhs_uob.csv,1952,86235,11703,110,0.143,0.9467,0.2484,0.9467,0.8805,0.913
4,Artificial_minority-share_4_minority-sharesudden_aobhs_uob.csv,19723,72064,7876,337,0.7146,0.9832,0.8277,0.9832,0.9015,0.9415
4,Artificial_shapeshift_1_shapeshiftincremental_aobhs_uob.csv,9159,72243,17878,720,0.3388,0.9271,0.4962,0.9271,0.8016,0.8621
4,Artificial_shapeshift_1_shapeshiftperiodic_aobhs_uob.csv,9300,72964,17172,564,0.3513,0.9428,0.5119,0.9428,0.8095,0.8736
4,Artificial_shapeshift_1_shapeshiftsudden_aobhs_uob.csv,9241,71467,18667,625,0.3311,0.9367,0.4893,0.9367,0.7929,0.8618
4,Artificial_shapeshift_2_shapeshiftincremental_aobhs_uob.csv,19444,61639,18415,502,0.5136,0.9748,0.6727,0.9748,0.77,0.8664
4,Artificial_shapeshift_2_shapeshiftperiodic_aobhs_uob.csv,19465,61325,18858,352,0.5079,0.9822,0.6696,0.9822,0.7648,0.8667
4,Artificial_shapeshift_2_shapeshiftsudden_aobhs_uob.csv,19500,60669,19355,476,0.5019,0.9762,0.6629,0.9762,0.7581,0.8603
4,Artificial_shapeshift_3_shapeshiftincremental_aobhs_uob.csv,29305,52550,17737,408,0.623,0.9863,0.7636,0.9863,0.7476,0.8587
4,Artificial_shapeshift_3_shapeshiftperiodic_aobhs_uob.csv,29575,52302,17790,333,0.6244,0.9889,0.7655,0.9889,0.7462,0.859
4,Artificial_shapeshift_3_shapeshiftsudden_aobhs_uob.csv,29349,51957,18300,394,0.6159,0.9868,0.7585,0.9868,0.7395,0.8542
