filename,File Name,,,,,Cost,Runtime
1,Artificial,appearing-clusters,3,appearing-clustersperiodic,ARF.csv,109285,11.34375
1,Artificial,appearing-clusters,3,appearing-clustersperiodic,CALMID.csv,106831,6.15625
1,Artificial,appearing-clusters,3,appearing-clustersperiodic,CSMOTE.csv,101434,463.765625
1,Artificial,appearing-clusters,3,appearing-clustersperiodic,EFDT.csv,108760,2.28125
1,Artificial,appearing-clusters,3,appearing-clustersperiodic,MICFOAL.csv,120960,2.96875
1,Artificial,appearing-clusters,3,appearing-clustersperiodic,OOB.csv,96768,4.78125
1,Artificial,appearing-clusters,3,appearing-clustersperiodic,ROSE.csv,99384,8.5625
1,Artificial,appearing-clusters,3,appearing-clustersperiodic,SGBT.csv,213548,69.265625
1,Artificial,appearing-clusters,3,appearing-clustersperiodic,UOB.csv,94946,4.390625
1,Artificial,appearing-clusters,3,appearing-clusterssudden,ARF-Re.csv,114710,9.46875
1,Artificial,appearing-clusters,3,appearing-clusterssudden,ARF.csv,259456,12.5
1,Artificial,appearing-clusters,3,appearing-clusterssudden,CALMID.csv,196989,6.4375
1,Artificial,appearing-clusters,3,appearing-clusterssudden,CSMOTE.csv,236326,431.8125
1,Artificial,appearing-clusters,3,appearing-clusterssudden,EFDT.csv,800135,2.359375
1,Artificial,appearing-clusters,3,appearing-clusterssudden,MICFOAL.csv,243135,2.671875
1,Artificial,appearing-clusters,3,appearing-clusterssudden,OOB.csv,125178,5.09375
1,Artificial,appearing-clusters,3,appearing-clusterssudden,ROSE.csv,120605,9.5
1,Artificial,appearing-clusters,3,appearing-clusterssudden,SGBT.csv,596219,73.265625
1,Artificial,appearing-clusters,3,appearing-clusterssudden,UOB.csv,117007,4.75
1,Artificial,appearing-clusters,4,appearing-clustersincremental,ARF-Re.csv,111620,10.109375
1,Artificial,appearing-clusters,4,appearing-clustersincremental,ARF.csv,157246,13.1875
1,Artificial,appearing-clusters,4,appearing-clustersincremental,CALMID.csv,141199,6.546875
1,Artificial,appearing-clusters,4,appearing-clustersincremental,CSMOTE.csv,306986,515.84375
1,Artificial,appearing-clusters,4,appearing-clustersincremental,EFDT.csv,428265,2.40625
