File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean,AUC,Runtime
Artificial_shapeshift_4_shapeshiftincremental_SGBT.csv,35783,51783,8199,4235,0.8136,0.8942,0.852,0.8942,0.8633,0.8786,0.9320193664593123,73.625
Artificial_shapeshift_4_shapeshiftincremental_UOB.csv,39085,46581,13401,933,0.7447,0.9767,0.845,0.9767,0.7766,0.8709,0.9283452639536842,6.328125
Artificial_shapeshift_4_shapeshiftperiodic_ARF-Re.csv,39337,49731,10281,651,0.7928,0.9837,0.878,0.9837,0.8287,0.9029,0.9472345554979564,12.65625
Artificial_shapeshift_4_shapeshiftperiodic_ARF.csv,38253,50496,9516,1735,0.8008,0.9566,0.8718,0.9566,0.8414,0.8972,0.945623822453008,15.625
Artificial_shapeshift_4_shapeshiftperiodic_CALMID.csv,38556,49725,10287,1432,0.7894,0.9642,0.8681,0.9642,0.8286,0.8938,0.9391343414488721,7.078125
Artificial_shapeshift_4_shapeshiftperiodic_CSMOTE.csv,38906,40678,19334,1082,0.668,0.9729,0.7922,0.9729,0.6778,0.8121,0.8658405720493059,561.03125
Artificial_shapeshift_4_shapeshiftperiodic_EFDT.csv,38128,48248,11764,1860,0.7642,0.9535,0.8484,0.9535,0.804,0.8755,0.9246592505712788,3.03125
Artificial_shapeshift_4_shapeshiftperiodic_MICFOAL.csv,37761,47252,12760,2227,0.7474,0.9443,0.8344,0.9443,0.7874,0.8623,0.9016059559419516,3.234375
Artificial_shapeshift_4_shapeshiftperiodic_OOB.csv,39245,47813,12199,743,0.7629,0.9814,0.8585,0.9814,0.7967,0.8843,0.9369498157819005,6.65625
Artificial_shapeshift_4_shapeshiftperiodic_ROSE.csv,39158,44813,15199,830,0.7204,0.9792,0.8301,0.9792,0.7467,0.8551,0.9119818312353667,12.203125
Artificial_shapeshift_4_shapeshiftperiodic_SGBT.csv,35449,51462,8550,4539,0.8057,0.8865,0.8442,0.8865,0.8575,0.8719,0.9304031634321996,73.046875
