File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean,AUC,Runtime
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF-Re.csv,9613,79772,10393,222,0.4805,0.9774,0.6443,0.9774,0.8847,0.9299,0.9672316039472457,10.265625
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF.csv,5415,88187,1978,4420,0.7324,0.5506,0.6286,0.5506,0.9781,0.7338,0.9685213841843532,12.46875
Artificial_appearing-clusters_1_appearing-clustersincremental_CALMID.csv,6731,86483,3682,3104,0.6464,0.6844,0.6649,0.6844,0.9592,0.8102,0.9628996514918943,8.5625
Artificial_appearing-clusters_1_appearing-clustersincremental_CSMOTE.csv,8783,80116,10049,1052,0.4664,0.893,0.6128,0.893,0.8885,0.8908,0.947601210467924,165.109375
Artificial_appearing-clusters_1_appearing-clustersincremental_EFDT.csv,4939,87554,2611,4896,0.6542,0.5022,0.5682,0.5022,0.971,0.6983,0.9508155429106402,2.359375
Artificial_appearing-clusters_1_appearing-clustersincremental_MICFOAL.csv,6314,86425,3740,3521,0.628,0.642,0.6349,0.642,0.9585,0.7845,0.9411974042617626,2.8125
Artificial_appearing-clusters_1_appearing-clustersincremental_OOB.csv,9528,80274,9891,307,0.4907,0.9688,0.6514,0.9688,0.8903,0.9287,0.966624161414969,5.515625
Artificial_appearing-clusters_1_appearing-clustersincremental_ROSE.csv,8334,82934,7231,1501,0.5354,0.8474,0.6562,0.8474,0.9198,0.8828,0.9652912900940154,11.265625
Artificial_appearing-clusters_1_appearing-clustersincremental_SGBT.csv,2757,89804,361,7078,0.8842,0.2803,0.4257,0.2803,0.996,0.5284,0.9589187077828365,80.0
Artificial_appearing-clusters_1_appearing-clustersincremental_UOB.csv,9519,75392,14773,316,0.3919,0.9679,0.5579,0.9679,0.8362,0.8996,0.9531588106096288,4.234375
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF-Re.csv,9858,84248,5842,52,0.6279,0.9948,0.7699,0.9948,0.9352,0.9645,0.9797965673747712,7.8125
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF.csv,7631,86761,3329,2279,0.6963,0.77,0.7313,0.77,0.963,0.8611,0.9795601550596506,10.0
