File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean,AUC,Runtime
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF-Re.csv,9625,79816,10349,210,0.4819,0.9786,0.6458,0.9786,0.8852,0.9308,0.9676357847138463,10.359375
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF.csv,5376,88158,2007,4459,0.7282,0.5466,0.6245,0.5466,0.9777,0.7311,0.9679230527797834,13.265625
Artificial_appearing-clusters_1_appearing-clustersincremental_CALMID.csv,6726,86686,3479,3109,0.6591,0.6839,0.6713,0.6839,0.9614,0.8109,0.9644608834546144,9.453125
Artificial_appearing-clusters_1_appearing-clustersincremental_CSMOTE.csv,8816,79929,10236,1019,0.4627,0.8964,0.6104,0.8964,0.8865,0.8914,0.9476359611964857,181.6875
Artificial_appearing-clusters_1_appearing-clustersincremental_EFDT.csv,4939,87554,2611,4896,0.6542,0.5022,0.5682,0.5022,0.971,0.6983,0.9508155429106402,2.421875
Artificial_appearing-clusters_1_appearing-clustersincremental_MICFOAL.csv,6465,85924,4241,3370,0.6039,0.6573,0.6295,0.6573,0.953,0.7915,0.9275915969567289,3.046875
Artificial_appearing-clusters_1_appearing-clustersincremental_OOB.csv,9514,80329,9836,321,0.4917,0.9674,0.652,0.9674,0.8909,0.9283,0.9666752601871432,5.59375
Artificial_appearing-clusters_1_appearing-clustersincremental_ROSE.csv,8050,83473,6692,1785,0.5461,0.8185,0.6551,0.8185,0.9258,0.8705,0.9634763945025263,11.875
Artificial_appearing-clusters_1_appearing-clustersincremental_SGBT.csv,2757,89804,361,7078,0.8842,0.2803,0.4257,0.2803,0.996,0.5284,0.9589187077828365,81.796875
Artificial_appearing-clusters_1_appearing-clustersincremental_UOB.csv,9537,75479,14686,298,0.3937,0.9697,0.56,0.9697,0.8371,0.901,0.951646519030763,4.578125
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF-Re.csv,9875,84161,5929,35,0.6248,0.9965,0.7681,0.9965,0.9342,0.9648,0.9800222997094844,8.625
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF.csv,7706,86748,3342,2204,0.6975,0.7776,0.7354,0.7776,0.9629,0.8653,0.9799995665283253,10.328125
Artificial_appearing-clusters_1_appearing-clustersperiodic_CALMID.csv,8820,85762,4328,1090,0.6708,0.89,0.765,0.89,0.952,0.9205,0.9792409054114403,7.21875
Artificial_appearing-clusters_1_appearing-clustersperiodic_CSMOTE.csv,9790,80397,9693,120,0.5025,0.9879,0.6661,0.9879,0.8924,0.9389,0.960254410910314,156.9375
Artificial_appearing-clusters_1_appearing-clustersperiodic_EFDT.csv,7025,86927,3163,2885,0.6895,0.7089,0.6991,0.7089,0.9649,0.827,0.9734101883092802,2.5625
Artificial_appearing-clusters_1_appearing-clustersperiodic_MICFOAL.csv,8685,85285,4805,1225,0.6438,0.8764,0.7423,0.8764,0.9467,0.9108,0.9632228921431747,2.59375
Artificial_appearing-clusters_1_appearing-clustersperiodic_OOB.csv,9862,83673,6417,48,0.6058,0.9952,0.7531,0.9952,0.9288,0.9614,0.9786681252372473,4.703125
Artificial_appearing-clusters_1_appearing-clustersperiodic_ROSE.csv,9520,84502,5588,390,0.6301,0.9606,0.7611,0.9606,0.938,0.9492,0.9784337895538703,9.9375
