File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean,AUC,Runtime
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF-Re.csv,9584,79724,10441,251,0.4786,0.9745,0.6419,0.9745,0.8842,0.9282,0.9667994836670533,8.09375
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF.csv,5343,88199,1966,4492,0.731,0.5433,0.6233,0.5433,0.9782,0.729,0.9676556251966576,10.59375
Artificial_appearing-clusters_1_appearing-clustersincremental_CALMID.csv,6626,86654,3511,3209,0.6536,0.6737,0.6635,0.6737,0.9611,0.8047,0.9620014185708397,6.296875
Artificial_appearing-clusters_1_appearing-clustersincremental_CSMOTE.csv,8851,79898,10267,984,0.463,0.8999,0.6114,0.8999,0.8861,0.893,0.9477373969898885,176.515625
Artificial_appearing-clusters_1_appearing-clustersincremental_EFDT.csv,4939,87554,2611,4896,0.6542,0.5022,0.5682,0.5022,0.971,0.6983,0.9508155429106402,2.578125
Artificial_appearing-clusters_1_appearing-clustersincremental_MICFOAL.csv,6442,85941,4224,3393,0.604,0.655,0.6285,0.655,0.9532,0.7901,0.927958204964062,3.015625
Artificial_appearing-clusters_1_appearing-clustersincremental_OOB.csv,9513,80406,9759,322,0.4936,0.9673,0.6537,0.9673,0.8918,0.9287,0.9669257014571743,5.390625
Artificial_appearing-clusters_1_appearing-clustersincremental_ROSE.csv,8623,83368,6797,1212,0.5592,0.8768,0.6829,0.8768,0.9246,0.9004,0.9700520801396953,9.28125
Artificial_appearing-clusters_1_appearing-clustersincremental_SGBT.csv,2757,89804,361,7078,0.8842,0.2803,0.4257,0.2803,0.996,0.5284,0.9589187077828365,79.3125
Artificial_appearing-clusters_1_appearing-clustersincremental_UOB.csv,9519,76070,14095,316,0.4031,0.9679,0.5692,0.9679,0.8437,0.9036,0.9530375613978451,4.953125
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF-Re.csv,9873,84185,5905,37,0.6257,0.9963,0.7687,0.9963,0.9345,0.9649,0.9799702903890594,9.5
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF.csv,7538,86786,3304,2372,0.6953,0.7606,0.7265,0.7606,0.9633,0.856,0.9796196375661562,12.203125
Artificial_appearing-clusters_1_appearing-clustersperiodic_CALMID.csv,8764,85718,4372,1146,0.6672,0.8844,0.7606,0.8844,0.9515,0.9173,0.9780391751986102,7.09375
Artificial_appearing-clusters_1_appearing-clustersperiodic_CSMOTE.csv,9782,80354,9736,128,0.5012,0.9871,0.6648,0.9871,0.8919,0.9383,0.9599739894593577,156.453125
Artificial_appearing-clusters_1_appearing-clustersperiodic_EFDT.csv,7025,86927,3163,2885,0.6895,0.7089,0.6991,0.7089,0.9649,0.827,0.9734101883092802,2.53125
Artificial_appearing-clusters_1_appearing-clustersperiodic_MICFOAL.csv,8397,85532,4558,1513,0.6482,0.8473,0.7345,0.8473,0.9494,0.8969,0.9604800547585614,2.84375
Artificial_appearing-clusters_1_appearing-clustersperiodic_OOB.csv,9860,83756,6334,50,0.6089,0.995,0.7554,0.995,0.9297,0.9618,0.9792739887089029,5.1875
Artificial_appearing-clusters_1_appearing-clustersperiodic_ROSE.csv,9768,84928,5162,142,0.6543,0.9857,0.7865,0.9857,0.9427,0.9639,0.9802628798491564,8.640625
Artificial_appearing-clusters_1_appearing-clustersperiodic_SGBT.csv,3423,89513,577,6487,0.8558,0.3454,0.4922,0.3454,0.9936,0.5858,0.9751302436771659,76.875
Artificial_appearing-clusters_1_appearing-clustersperiodic_UOB.csv,9896,80128,9962,14,0.4983,0.9986,0.6649,0.9986,0.8894,0.9424,0.9728947020016646,4.765625
Artificial_appearing-clusters_1_appearing-clusterssudden_ARF-Re.csv,9622,79030,11144,204,0.4634,0.9792,0.6291,0.9792,0.8764,0.9264,0.966321872586013,10.53125
