File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean,AUC,Runtime
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF-Re.csv,9592,79839,10326,243,0.4816,0.9753,0.6448,0.9753,0.8855,0.9293,0.9669245004730778,11.296875
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF.csv,5365,88149,2016,4470,0.7269,0.5455,0.6233,0.5455,0.9776,0.7303,0.968402464205106,13.125
Artificial_appearing-clusters_1_appearing-clustersincremental_CALMID.csv,6795,86445,3720,3040,0.6462,0.6909,0.6678,0.6909,0.9587,0.8139,0.9624708984779106,9.203125
Artificial_appearing-clusters_1_appearing-clustersincremental_CSMOTE.csv,8669,80192,9973,1166,0.465,0.8814,0.6088,0.8814,0.8894,0.8854,0.9456715639471454,167.578125
Artificial_appearing-clusters_1_appearing-clustersincremental_EFDT.csv,4939,87554,2611,4896,0.6542,0.5022,0.5682,0.5022,0.971,0.6983,0.9508155429106402,2.296875
Artificial_appearing-clusters_1_appearing-clustersincremental_MICFOAL.csv,6744,85771,4394,3091,0.6055,0.6857,0.6431,0.6857,0.9513,0.8076,0.9388627701160537,2.890625
Artificial_appearing-clusters_1_appearing-clustersincremental_OOB.csv,9476,80405,9760,359,0.4926,0.9635,0.6519,0.9635,0.8918,0.9269,0.9653889103665818,5.65625
Artificial_appearing-clusters_1_appearing-clustersincremental_ROSE.csv,8463,83803,6362,1372,0.5709,0.8605,0.6864,0.8605,0.9294,0.8943,0.9695918568316444,10.828125
Artificial_appearing-clusters_1_appearing-clustersincremental_SGBT.csv,2757,89804,361,7078,0.8842,0.2803,0.4257,0.2803,0.996,0.5284,0.9589187077828365,80.140625
Artificial_appearing-clusters_1_appearing-clustersincremental_UOB.csv,9546,75308,14857,289,0.3912,0.9706,0.5576,0.9706,0.8352,0.9004,0.9478349411437446,4.09375
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF-Re.csv,9880,84052,6038,30,0.6207,0.997,0.7651,0.997,0.933,0.9644,0.9798494217969496,8.46875
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF.csv,7622,86700,3390,2288,0.6922,0.7691,0.7286,0.7691,0.9624,0.8603,0.9796013740716062,10.765625
Artificial_appearing-clusters_1_appearing-clustersperiodic_CALMID.csv,8893,85619,4471,1017,0.6654,0.8974,0.7642,0.8974,0.9504,0.9235,0.9786060811035584,6.609375
Artificial_appearing-clusters_1_appearing-clustersperiodic_CSMOTE.csv,9792,80140,9950,118,0.496,0.9881,0.6605,0.9881,0.8896,0.9375,0.9601141828235673,157.6875
Artificial_appearing-clusters_1_appearing-clustersperiodic_EFDT.csv,7025,86927,3163,2885,0.6895,0.7089,0.6991,0.7089,0.9649,0.827,0.9734101883092802,2.28125
Artificial_appearing-clusters_1_appearing-clustersperiodic_MICFOAL.csv,8492,85517,4573,1418,0.65,0.8569,0.7392,0.8569,0.9492,0.9019,0.9615875720870676,2.84375
Artificial_appearing-clusters_1_appearing-clustersperiodic_OOB.csv,9848,83699,6391,62,0.6064,0.9937,0.7532,0.9937,0.9291,0.9609,0.9781943104546535,5.015625
Artificial_appearing-clusters_1_appearing-clustersperiodic_ROSE.csv,9763,84957,5133,147,0.6554,0.9852,0.7871,0.9852,0.943,0.9639,0.9801052406501448,9.046875
Artificial_appearing-clusters_1_appearing-clustersperiodic_SGBT.csv,3423,89513,577,6487,0.8558,0.3454,0.4922,0.3454,0.9936,0.5858,0.9751302436771659,77.78125
Artificial_appearing-clusters_1_appearing-clustersperiodic_UOB.csv,9894,79703,10387,16,0.4878,0.9984,0.6554,0.9984,0.8847,0.9398,0.9696700401291724,4.28125
Artificial_appearing-clusters_1_appearing-clusterssudden_ARF-Re.csv,9611,78940,11234,215,0.4611,0.9781,0.6267,0.9781,0.8754,0.9253,0.9653641159533841,9.890625
Artificial_appearing-clusters_1_appearing-clusterssudden_ARF.csv,5188,88293,1881,4638,0.7339,0.528,0.6141,0.528,0.9791,0.719,0.9672107341009679,12.703125
