File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean,AUC,Runtime
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF-Re.csv,9585,79988,10177,250,0.485,0.9746,0.6477,0.9746,0.8871,0.9298,0.9674099703839013,11.140625
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF.csv,5406,88170,1995,4429,0.7304,0.5497,0.6273,0.5497,0.9779,0.7331,0.9677562857068994,12.9375
Artificial_appearing-clusters_1_appearing-clustersincremental_CALMID.csv,6842,86540,3625,2993,0.6537,0.6957,0.674,0.6957,0.9598,0.8171,0.9662043915364903,8.90625
Artificial_appearing-clusters_1_appearing-clustersincremental_CSMOTE.csv,8851,79646,10519,984,0.4569,0.8999,0.6061,0.8999,0.8833,0.8916,0.9462452830715287,163.09375
Artificial_appearing-clusters_1_appearing-clustersincremental_EFDT.csv,4939,87554,2611,4896,0.6542,0.5022,0.5682,0.5022,0.971,0.6983,0.9508155429106402,2.328125
Artificial_appearing-clusters_1_appearing-clustersincremental_MICFOAL.csv,6577,85729,4436,3258,0.5972,0.6687,0.6309,0.6687,0.9508,0.7974,0.931563644925838,2.921875
Artificial_appearing-clusters_1_appearing-clustersincremental_OOB.csv,9505,80549,9616,330,0.4971,0.9664,0.6565,0.9664,0.8934,0.9292,0.9679954856530186,5.0625
Artificial_appearing-clusters_1_appearing-clustersincremental_ROSE.csv,8322,83120,7045,1513,0.5416,0.8462,0.6604,0.8462,0.9219,0.8832,0.9660971103899756,10.796875
Artificial_appearing-clusters_1_appearing-clustersincremental_SGBT.csv,2757,89804,361,7078,0.8842,0.2803,0.4257,0.2803,0.996,0.5284,0.9589187077828365,77.34375
Artificial_appearing-clusters_1_appearing-clustersincremental_UOB.csv,9534,75884,14281,301,0.4003,0.9694,0.5667,0.9694,0.8416,0.9032,0.9519933869192139,4.140625
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF-Re.csv,9858,84265,5825,52,0.6286,0.9948,0.7704,0.9948,0.9353,0.9646,0.9799575388172764,7.671875
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF.csv,7642,86721,3369,2268,0.694,0.7711,0.7306,0.7711,0.9626,0.8616,0.9792967627730493,10.015625
Artificial_appearing-clusters_1_appearing-clustersperiodic_CALMID.csv,8904,85716,4374,1006,0.6706,0.8985,0.768,0.8985,0.9514,0.9246,0.9791840024534273,7.21875
Artificial_appearing-clusters_1_appearing-clustersperiodic_CSMOTE.csv,9802,80235,9855,108,0.4987,0.9891,0.663,0.9891,0.8906,0.9386,0.959548145542091,157.0
Artificial_appearing-clusters_1_appearing-clustersperiodic_EFDT.csv,7025,86927,3163,2885,0.6895,0.7089,0.6991,0.7089,0.9649,0.827,0.9734101883092802,2.1875
Artificial_appearing-clusters_1_appearing-clustersperiodic_MICFOAL.csv,8095,85634,4456,1815,0.645,0.8169,0.7208,0.8169,0.9505,0.8812,0.957389331153206,2.578125
Artificial_appearing-clusters_1_appearing-clustersperiodic_OOB.csv,9865,83816,6274,45,0.6113,0.9955,0.7574,0.9955,0.9304,0.9624,0.9793293739560137,4.703125
Artificial_appearing-clusters_1_appearing-clustersperiodic_ROSE.csv,9507,84548,5542,403,0.6317,0.9593,0.7618,0.9593,0.9385,0.9489,0.9785335440431303,8.453125
Artificial_appearing-clusters_1_appearing-clustersperiodic_SGBT.csv,3423,89513,577,6487,0.8558,0.3454,0.4922,0.3454,0.9936,0.5858,0.9751302436771659,77.46875
Artificial_appearing-clusters_1_appearing-clustersperiodic_UOB.csv,9895,80207,9883,15,0.5003,0.9985,0.6666,0.9985,0.8903,0.9428,0.9701385944473735,4.84375
Artificial_appearing-clusters_1_appearing-clusterssudden_ARF-Re.csv,9621,79173,11001,205,0.4665,0.9791,0.632,0.9791,0.878,0.9272,0.9655446831333814,10.5625
Artificial_appearing-clusters_1_appearing-clusterssudden_ARF.csv,5182,88356,1818,4644,0.7403,0.5274,0.616,0.5274,0.9798,0.7188,0.9662972402212497,13.921875
Artificial_appearing-clusters_1_appearing-clusterssudden_CALMID.csv,6353,86830,3344,3473,0.6552,0.6465,0.6508,0.6465,0.9629,0.789,0.9593568311974329,8.015625
