File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean,AUC,Runtime
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF-Re.csv,9628,79782,10383,207,0.4811,0.979,0.6452,0.979,0.8848,0.9307,0.9684746591368911,11.5625
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF.csv,5299,88175,1990,4536,0.727,0.5388,0.6189,0.5388,0.9779,0.7259,0.9679267628621098,13.625
Artificial_appearing-clusters_1_appearing-clustersincremental_CALMID.csv,6738,86529,3636,3097,0.6495,0.6851,0.6668,0.6851,0.9597,0.8108,0.9609965828055558,8.953125
Artificial_appearing-clusters_1_appearing-clustersincremental_CSMOTE.csv,8820,79336,10829,1015,0.4489,0.8968,0.5983,0.8968,0.8799,0.8883,0.9454380948941514,186.1875
Artificial_appearing-clusters_1_appearing-clustersincremental_EFDT.csv,4939,87554,2611,4896,0.6542,0.5022,0.5682,0.5022,0.971,0.6983,0.9508155429106402,2.625
Artificial_appearing-clusters_1_appearing-clustersincremental_MICFOAL.csv,6726,85810,4355,3109,0.607,0.6839,0.6431,0.6839,0.9517,0.8068,0.944327582113693,2.890625
Artificial_appearing-clusters_1_appearing-clustersincremental_OOB.csv,9497,80415,9750,338,0.4934,0.9656,0.6531,0.9656,0.8919,0.928,0.9666573097037175,5.625
Artificial_appearing-clusters_1_appearing-clustersincremental_ROSE.csv,8575,83570,6595,1260,0.5653,0.8719,0.6859,0.8719,0.9269,0.899,0.9702988964675872,11.3125
Artificial_appearing-clusters_1_appearing-clustersincremental_SGBT.csv,2757,89804,361,7078,0.8842,0.2803,0.4257,0.2803,0.996,0.5284,0.9589187077828365,81.828125
Artificial_appearing-clusters_1_appearing-clustersincremental_UOB.csv,9489,76057,14108,346,0.4021,0.9648,0.5677,0.9648,0.8435,0.9021,0.9533810806268832,4.609375
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF-Re.csv,9880,84096,5994,30,0.6224,0.997,0.7664,0.997,0.9335,0.9647,0.9801444076721574,8.6875
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF.csv,7561,86763,3327,2349,0.6944,0.763,0.7271,0.763,0.9631,0.8572,0.9796233450370685,10.96875
Artificial_appearing-clusters_1_appearing-clustersperiodic_CALMID.csv,8824,85732,4358,1086,0.6694,0.8904,0.7642,0.8904,0.9516,0.9205,0.9790996597303359,7.03125
Artificial_appearing-clusters_1_appearing-clustersperiodic_CSMOTE.csv,9793,80062,10028,117,0.4941,0.9882,0.6588,0.9882,0.8887,0.9371,0.9593122854273207,160.921875
Artificial_appearing-clusters_1_appearing-clustersperiodic_EFDT.csv,7025,86927,3163,2885,0.6895,0.7089,0.6991,0.7089,0.9649,0.827,0.9734101883092802,2.40625
Artificial_appearing-clusters_1_appearing-clustersperiodic_MICFOAL.csv,8663,85405,4685,1247,0.649,0.8742,0.7449,0.8742,0.948,0.9103,0.9687096746733477,2.796875
Artificial_appearing-clusters_1_appearing-clustersperiodic_OOB.csv,9854,83762,6328,56,0.6089,0.9943,0.7553,0.9943,0.9298,0.9615,0.9787629894491651,5.140625
