File Name,TP,TN,FP,FN,Precision,Recall,F1,Sensitivity,Specificity,Gmean,AUC,Runtime
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF-Re.csv,9639,79672,10493,196,0.4788,0.9801,0.6433,0.9801,0.8836,0.9306,0.9677362969335634,11.140625
Artificial_appearing-clusters_1_appearing-clustersincremental_ARF.csv,5396,88151,2014,4439,0.7282,0.5487,0.6258,0.5487,0.9777,0.7324,0.9674677258782556,13.265625
Artificial_appearing-clusters_1_appearing-clustersincremental_CALMID.csv,6827,86366,3799,3008,0.6425,0.6942,0.6673,0.6942,0.9579,0.8154,0.9617196259774664,9.796875
Artificial_appearing-clusters_1_appearing-clustersincremental_CSMOTE.csv,8580,77717,12448,1255,0.408,0.8724,0.556,0.8724,0.8619,0.8672,0.9360942970988255,191.609375
Artificial_appearing-clusters_1_appearing-clustersincremental_EFDT.csv,4939,87554,2611,4896,0.6542,0.5022,0.5682,0.5022,0.971,0.6983,0.9508155429106402,2.640625
Artificial_appearing-clusters_1_appearing-clustersincremental_MICFOAL.csv,6507,85835,4330,3328,0.6004,0.6616,0.6295,0.6616,0.952,0.7936,0.925684563331345,3.078125
Artificial_appearing-clusters_1_appearing-clustersincremental_OOB.csv,9517,80333,9832,318,0.4919,0.9677,0.6522,0.9677,0.891,0.9285,0.9667391266043323,5.859375
Artificial_appearing-clusters_1_appearing-clustersincremental_ROSE.csv,8496,83102,7063,1339,0.5461,0.8639,0.6691,0.8639,0.9217,0.8923,0.9674624308352272,11.546875
Artificial_appearing-clusters_1_appearing-clustersincremental_SGBT.csv,2757,89804,361,7078,0.8842,0.2803,0.4257,0.2803,0.996,0.5284,0.9589187077828365,83.328125
Artificial_appearing-clusters_1_appearing-clustersincremental_UOB.csv,9520,75184,14981,315,0.3886,0.968,0.5545,0.968,0.8338,0.8984,0.9441632711378628,4.046875
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF-Re.csv,9881,84009,6081,29,0.619,0.9971,0.7638,0.9971,0.9325,0.9642,0.9796073497082579,8.234375
Artificial_appearing-clusters_1_appearing-clustersperiodic_ARF.csv,7618,86733,3357,2292,0.6941,0.7687,0.7295,0.7687,0.9627,0.8603,0.9793398372005839,10.921875
Artificial_appearing-clusters_1_appearing-clustersperiodic_CALMID.csv,8827,85683,4407,1083,0.667,0.8907,0.7628,0.8907,0.9511,0.9204,0.9786861887971878,6.890625
Artificial_appearing-clusters_1_appearing-clustersperiodic_CSMOTE.csv,9800,80253,9837,110,0.4991,0.9889,0.6633,0.9889,0.8908,0.9386,0.960175323051206,155.8125
Artificial_appearing-clusters_1_appearing-clustersperiodic_EFDT.csv,7025,86927,3163,2885,0.6895,0.7089,0.6991,0.7089,0.9649,0.827,0.9734101883092802,2.5
Artificial_appearing-clusters_1_appearing-clustersperiodic_MICFOAL.csv,8259,85628,4462,1651,0.6492,0.8334,0.7299,0.8334,0.9505,0.89,0.9612211871545877,2.984375
Artificial_appearing-clusters_1_appearing-clustersperiodic_OOB.csv,9865,83680,6410,45,0.6061,0.9955,0.7535,0.9955,0.9288,0.9616,0.9789371308140229,5.328125
